Complexity metrics,Wed, 3 Jun 2020 18:27:59 EEST
Method,ev(G),iv(G),v(G)
"com.example.parking.domain.Rating.setRatingUsername(String)",1,1,1
"com.example.parking.domain.Rating.toString()",1,1,1
"com.example.parking.domain.RatingTest.FullConTest()",1,1,1
"com.example.parking.domain.RatingTest.getCommentTest()",1,1,1
"com.example.parking.domain.RatingTest.getRatingScoreTest()",1,1,1
"com.example.parking.domain.RatingTest.setup()",1,1,1
"com.example.parking.domain.User.User()",1,1,1
"com.example.parking.domain.User.User(String,String,String,String,String,String,Credits,Address,ArrayList<Rating>,ArrayList<Vehicle>)",1,1,1
"com.example.parking.domain.User.addCredits(Credits)",1,1,1
"com.example.parking.domain.User.addRating(Rating)",1,1,1
"com.example.parking.domain.User.addVehicle(Vehicle)",4,3,4
"com.example.parking.domain.User.calculateRating()",1,2,2
"com.example.parking.domain.User.getAddress()",1,1,1
"com.example.parking.domain.User.getCredits()",1,1,1
"com.example.parking.domain.User.getEmail()",1,1,1
"com.example.parking.domain.User.getName()",1,1,1
"com.example.parking.domain.User.getPassword()",1,1,1
"com.example.parking.domain.User.getPhone()",1,1,1
"com.example.parking.domain.User.getRating()",1,1,1
"com.example.parking.domain.User.getSurname()",1,1,1
"com.example.parking.domain.User.getUsername()",1,1,1
"com.example.parking.domain.User.getVehicle(String)",4,3,4
"com.example.parking.domain.User.getVehicles()",1,1,1
"com.example.parking.domain.User.removeCredits(Credits)",1,1,1
"com.example.parking.domain.User.removeRating(Rating)",1,1,1
"com.example.parking.domain.User.removeVehicle(Vehicle)",4,4,4
"com.example.parking.domain.User.setAddress(Address)",1,1,1
"com.example.parking.domain.User.setCredits(Credits)",1,1,1
"com.example.parking.domain.User.setEmail(String)",1,1,1
"com.example.parking.domain.User.setName(String)",1,1,1
"com.example.parking.domain.User.setPassword(String)",1,1,1
"com.example.parking.domain.User.setPenalty(int)",1,2,2
"com.example.parking.domain.User.setPhone(String)",1,1,1
"com.example.parking.domain.User.setRating(ArrayList<Rating>)",1,1,1
"com.example.parking.domain.User.setSurname(String)",1,1,1
"com.example.parking.domain.User.setUsername(String)",1,1,1
"com.example.parking.domain.User.setVehicles(ArrayList<Vehicle>)",1,1,1
"com.example.parking.domain.User.toString()",1,1,1
"com.example.parking.domain.UserTest.FullConTest()",1,1,1
"com.example.parking.domain.UserTest.addCreditsTest()",1,1,1
"com.example.parking.domain.UserTest.addEmptyArrayVehicleTest()",1,1,1
"com.example.parking.domain.UserTest.addRatingTest()",1,1,1
"com.example.parking.domain.UserTest.addSecondVehicleTest()",1,1,1
"com.example.parking.domain.UserTest.addVehicleTest()",1,1,1
"com.example.parking.domain.UserTest.addVehicleTestAlreadyExists()",1,1,1
"com.example.parking.domain.UserTest.calculateRatingTest()",1,1,1
"com.example.parking.domain.UserTest.getAddressTest()",1,1,1
"com.example.parking.domain.UserTest.getCreditsTest()",1,1,1
"com.example.parking.domain.UserTest.getEmailTest()",1,1,1
"com.example.parking.domain.UserTest.getNameTest()",1,1,1
"com.example.parking.domain.UserTest.getPasswordTest()",1,1,1
"com.example.parking.domain.UserTest.getPhoneTest()",1,1,1
"com.example.parking.domain.UserTest.getRatingTest()",1,1,1
"com.example.parking.domain.UserTest.getSurnameTest()",1,1,1
"com.example.parking.domain.UserTest.getUsernameTest()",1,1,1
"com.example.parking.domain.UserTest.getVehicleAndItDoesNotExistTest()",1,1,1
"com.example.parking.domain.UserTest.getVehicleAndItExistsTest()",1,1,1
"com.example.parking.domain.UserTest.getVehicleFromEmptyTest()",1,1,1
"com.example.parking.domain.UserTest.getVehiclesTest()",1,1,1
"com.example.parking.domain.UserTest.removeCreditsTest()",1,1,1
"com.example.parking.domain.UserTest.removeRatingTest()",1,1,1
"com.example.parking.domain.UserTest.removeVehicleButUserHasNoneTest()",1,1,1
